"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
7602,"heggarty2024",-5.20248025452456,-0.305209085479843,0.431562436811913,0.264681896970518,0.360858605689447,0.633723367609031,-0.373263646810788,0.076853875882513,-0.0568667590135639,-0.521597262344046,0.187824114157014,0.153217225162305,-0.0329934685593721,0.373145870999407,0.410503888607144,0.323412621344097
7603,"heggarty2024",-5.19306734016574,-0.308514765624631,0.438680533545551,0.261895276885952,0.36748838988487,0.647103346247183,-0.374609131828214,0.0617192709049858,-0.0561879401181276,-0.517225359166951,0.186123279038697,0.149080782289392,-0.0164754593059577,0.378574066568176,0.424408108623045,0.321244841371586
7604,"heggarty2024",-5.19613159389483,-0.280304273594275,0.441444045133025,0.256073049573419,0.360891335762308,0.625592217636236,-0.365349792522641,0.0596163674739135,-0.05554633879778,-0.513257651682785,0.181846224739215,0.1459230840822,-0.0270488034088833,0.37943459032585,0.418126510221268,0.315807986717824
7605,"heggarty2024",-5.20120443635206,-0.28551154761378,0.434486796397078,0.256639596710932,0.356111696012825,0.611049331354229,-0.375640209214435,0.0728772498032648,-0.0587302946139873,-0.487582196765467,0.197433244498486,0.135778718480536,-0.028412654957333,0.368272117173479,0.418570445176117,0.297151822531154
7606,"heggarty2024",-5.21930033458178,-0.244857007364904,0.467994345829932,0.265675652599916,0.374900023074977,0.617156088142916,-0.386636972806177,0.0416624622071732,-0.0356619322343443,-0.444913957634736,0.183317712361915,0.173661476827937,0.00729210798892607,0.408511070341736,0.435298061898869,0.298781235174049
7607,"heggarty2024",-5.23612506764741,-0.24056092392194,0.462006757256082,0.266871481798432,0.39044192937373,0.639483273607674,-0.388913018161631,0.0379766496580268,-0.0327293653829422,-0.473397225216329,0.182786992392202,0.189721674150658,-0.000597571938322772,0.414895701299171,0.444585165803958,0.308526518156565
7608,"heggarty2024",-5.24186902267784,-0.225323972458226,0.444806461114641,0.252394065144808,0.382632206332002,0.614098309387927,-0.38717859572323,0.0323366993543238,-0.0248244023522485,-0.492978394336024,0.192998144903775,0.189720025328033,-0.0200037886183364,0.411023892440631,0.448207285543569,0.296125984619643
7609,"heggarty2024",-5.25173965121369,-0.223400227172685,0.433884421695509,0.249994257579509,0.390978370126768,0.615706479721876,-0.379995873551563,0.0506359426996583,-0.0250235308774206,-0.480912735463117,0.210578911814616,0.183043759817298,-0.00837446344241496,0.400342563584912,0.448700657665682,0.284205856791196
7610,"heggarty2024",-5.24310407232233,-0.222043373358839,0.420144648022946,0.260192639086642,0.408339172997791,0.636604330578587,-0.370560644184197,0.0267557422897935,-0.0169706321311497,-0.530693329087796,0.198958411658423,0.197922221528415,-0.0580345750532112,0.421979072914654,0.462515623902315,0.317505156038341
7611,"heggarty2024",-5.26109676677001,-0.214745584318148,0.441236828202757,0.251447027635129,0.400542416647785,0.626974708360678,-0.373518988488626,0.0159097888720545,0.00974587369243092,-0.514535013800358,0.192702498862434,0.212500818406926,-0.0513122584547418,0.428607644603094,0.444807889388608,0.312202732605076
7612,"heggarty2024",-5.28107295157203,-0.186019781649829,0.438086723169961,0.241631345892841,0.402608702761962,0.615889145404965,-0.356980890547161,0.0102278157513596,0.0435038906865514,-0.501414871818712,0.203482266253142,0.227014521522979,-0.0656051886951384,0.432373341266169,0.44309029608556,0.308193883680953
7613,"heggarty2024",-5.25810084616315,-0.194678399110912,0.424716806067047,0.231930146474609,0.405416098117939,0.608183444415456,-0.35629284392966,0.0104331796410634,0.0468797417862605,-0.485986649208821,0.20900642309586,0.226336619195922,-0.0621816670223787,0.438870133894307,0.455227911004745,0.300442493224601
